127.0.0.1, 2015-03-04 15:07:18, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.267000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/default/index, HTTP/1.1, 200, 0.188000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/js/bootstrap.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-03-04 15:07:28, GET, /admin/static/_2.9.12/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:07:31, POST, /admin/default/index, HTTP/1.1, 303, 0.057000
127.0.0.1, 2015-03-04 15:07:31, GET, /admin/default/site, HTTP/1.1, 200, 0.074000
127.0.0.1, 2015-03-04 15:07:31, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:31, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:31, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:07:32, POST, /admin/default/check_version, HTTP/1.1, 200, 1.347000
127.0.0.1, 2015-03-04 15:07:37, POST, /admin/default/site, HTTP/1.1, 303, 0.181000
127.0.0.1, 2015-03-04 15:07:38, GET, /admin/default/design/todo, HTTP/1.1, 200, 0.386000
127.0.0.1, 2015-03-04 15:07:38, GET, /admin/static/_2.9.12/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:07:38, GET, /admin/static/_2.9.12/images/help.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:07:38, GET, /admin/static/_2.9.12/images/delete_icon.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-03-04 15:07:38, GET, /admin/static/_2.9.12/images/test_icon.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-03-04 15:07:49, GET, /admin/default/delete/todo/models/menu.py, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-03-04 15:07:50, POST, /admin/default/delete/todo/models/menu.py, HTTP/1.1, 303, 0.043000
127.0.0.1, 2015-03-04 15:07:51, GET, /admin/default/design/todo, HTTP/1.1, 200, 0.118000
127.0.0.1, 2015-03-04 15:10:23, GET, /todo/index.html, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/index.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/app.js, HTTP/1.1, 200, 0.006000
TP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/pages/header/header.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/pages/header/header.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:11:55, GET, /todo/static/index.html, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 15:12:22, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010000
